,j_zlogz,j_c1_b0_mmdt,j_c1_b1_mmdt,j_c1_b2_mmdt,j_c2_b1_mmdt,j_c2_b2_mmdt,j_d2_b1_mmdt,j_d2_b2_mmdt,j_d2_a1_b1_mmdt,j_d2_a1_b2_mmdt,j_m2_b1_mmdt,j_m2_b2_mmdt,j_n2_b1_mmdt,j_n2_b2_mmdt,j_mass_mmdt,j_multiplicity,label
0,-3.488421678543091,0.4718640446662903,0.058536991477012634,0.01465922873467207,0.10948126018047333,0.025471581146121025,1.870291829109192,1.7375799417495728,1.870291829109192,0.21136540174484253,0.0891982689499855,0.03230910003185272,0.3315854072570801,0.15577198565006256,141.8610382080078,85.0,0
1,-2.9102225303649902,0.43740424513816833,0.007328404113650322,0.00016287316975649446,0.008325415663421154,0.0001110601078835316,1.136047601699829,0.6818808913230896,1.136047601699829,0.21510493755340576,0.10996203869581223,0.04473605751991272,0.30543243885040283,0.1294863075017929,15.323137283325195,59.0,0
2,-3.2562499046325684,0.45566150546073914,0.08960174769163132,0.023744875565171242,0.12356431782245636,0.031391967087984085,1.3790391683578491,1.322052240371704,1.3790391683578491,0.27112600207328796,0.13120299577713013,0.07401148974895477,0.3591196835041046,0.21622972190380096,177.07403564453125,94.0,4
3,-3.7254230976104736,0.47977113723754883,0.08072059601545334,0.0210272129625082,0.09751124680042267,0.01776699163019657,1.2080094814300537,0.8449522256851196,1.2080094814300537,0.20837749540805817,0.09923996776342392,0.043942250311374664,0.30307579040527344,0.14475028216838837,173.37074279785156,102.0,0
4,-3.0780675411224365,0.46255993843078613,0.045500338077545166,0.007449727039784193,0.037764329463243484,0.0022386424243450165,0.8299791216850281,0.30049994587898254,0.8299791216850281,0.1215907409787178,0.059683654457330704,0.01503716129809618,0.19504612684249878,0.0511823408305645,90.35578155517578,52.0,3
5,-2.766732931137085,0.4206504225730896,0.011304657906293869,0.0005528180045075715,0.019706351682543755,0.0005860617966391146,1.7432063817977905,1.0601351261138916,1.7432063817977905,0.193752720952034,0.08563140779733658,0.027765585109591484,0.3178183436393738,0.12160783261060715,23.4697322845459,48.0,0
6,-3.1898021697998047,0.46147266030311584,0.09180077910423279,0.027005985379219055,0.12558969855308533,0.03928336873650551,1.3680678606033325,1.4546171426773071,1.3680678606033325,0.23848262429237366,0.10381504893302917,0.06474415957927704,0.3476787805557251,0.2694404721260071,167.9563446044922,62.0,4
7,-2.4011220932006836,0.4255332946777344,0.03976625204086304,0.008417273871600628,0.03691968321800232,0.0026395635213702917,0.9284173846244812,0.31358885765075684,0.9284173846244812,0.07560144364833832,0.0346214734017849,0.007822669111192226,0.1527361422777176,0.03454381972551346,95.52780151367188,35.0,3
8,-2.734748363494873,0.45304206013679504,0.04457208886742592,0.00768240075558424,0.04950262978672981,0.0043060812167823315,1.1106194257736206,0.5605124235153198,1.1106194257736206,0.14605243504047394,0.0740722268819809,0.030243221670389175,0.24058450758457184,0.09048641473054886,92.75711822509766,34.0,3
9,-2.697237491607666,0.45452451705932617,0.04720911383628845,0.007775803562253714,0.03580187261104584,0.0024641784839332104,0.7583678364753723,0.31690338253974915,0.7583678364753723,0.1163695901632309,0.062498047947883606,0.018138360232114792,0.1896977573633194,0.054355982691049576,91.51683807373047,32.0,3
10,-3.1791186332702637,0.4704297184944153,0.03966990485787392,0.007647182326763868,0.04688289761543274,0.0028270736802369356,1.1818252801895142,0.3696882724761963,1.1818252801895142,0.11032771319150925,0.0573417991399765,0.010508889332413673,0.20920801162719727,0.04651093855500221,92.8208236694336,49.0,3
11,-2.451805353164673,0.4281054139137268,0.04186971113085747,0.005480639170855284,0.053877100348472595,0.007089613471180201,1.2867798805236816,1.2935742139816284,1.2867798805236816,0.23278623819351196,0.11360489577054977,0.08461587131023407,0.356692910194397,0.28903600573539734,79.90382385253906,39.0,2
12,-2.3486642837524414,0.4124164581298828,0.04526937007904053,0.007530298084020615,0.027005206793546677,0.001546296407468617,0.5965447425842285,0.2053433209657669,0.5965447425842285,0.08469117432832718,0.045380670577287674,0.013357174582779408,0.1454460620880127,0.039438482373952866,93.15205383300781,34.0,3
13,-3.361374855041504,0.474689781665802,0.09903373569250107,0.031164219602942467,0.09692352265119553,0.013980280607938766,0.9786919355392456,0.4486003816127777,0.9786919355392456,0.17278702557086945,0.08581673353910446,0.027622297406196594,0.2614819407463074,0.09088661521673203,165.341552734375,54.0,4
